Raw Data 		Experiment - HL60 _U937_Kokultur Bine _1_IL10_090113 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A1	Sample_1	2	3	1	691600	71.79	15.58
A1	Sample_1	2	3	2	770133	71.64	15.53
A1	Sample_1	2	3	3	848716	71.64	15.49
A1	Sample_1	2	3	4	927233	71.67	15.47
A1	Sample_1	2	3	5	1005816	71.67	15.47
A1	Sample_1	2	3	6	1084316	71.67	15.41
A1	Sample_1	2	3	7	1162916	71.67	15.44
A1	Sample_1	2	3	8	1241416	71.67	15.45
A1	Sample_1	2	3	9	1320000	71.67	15.42
A1	Sample_1	2	3	10	1398500	71.67	15.45
A1	Sample_1	2	3	11	1477116	71.67	15.39
A1	Sample_1	2	3	12	1555700	71.67	15.47
A1	Sample_1	2	3	13	1634300	71.67	15.37
A1	Sample_1	2	3	14	1712900	71.67	15.42
A1	Sample_1	2	3	15	1791500	71.67	15.38
A1	Sample_1	2	3	16	1870000	71.67	15.49
A1	Sample_1	2	3	17	1948400	71.67	15.41
A1	Sample_1	2	3	18	2026883	71.67	15.50
A1	Sample_1	2	3	19	2105400	71.67	15.41
A1	Sample_1	2	3	20	2184000	71.67	15.42
A1	Sample_1	2	3	21	2262583	71.67	15.43
A1	Sample_1	2	3	22	2341200	71.67	15.42
A1	Sample_1	2	3	23	2419783	71.64	15.39
A1	Sample_1	2	3	24	2498383	71.67	15.42
A1	Sample_1	2	3	25	2576883	71.67	15.46
A1	Sample_1	2	3	26	2655483	71.67	15.46
A1	Sample_1	2	3	27	2733983	71.67	15.41
A1	Sample_1	2	3	28	2812583	71.67	15.52
A1	Sample_1	2	3	29	2891200	71.67	15.48
A1	Sample_1	2	3	30	2969766	71.67	15.50
A1	Sample_1	2	3	31	3048266	71.67	15.52
A1	Sample_1	2	3	32	3126683	71.67	15.54
A1	Sample_1	2	3	33	3205266	71.67	15.51
A1	Sample_1	2	3	34	3283766	71.67	15.53
