General:Pos	General:Sample Name	General:Repl. Of	General:Filt. Comb.	General:Target Name	Sample Preferences:Color	Abs Quant:Concentration	Rel Quant:Efficiency	Rel Quant:Combined Sample/Target type
A1	Sample_1		465-510	negativ Kontrolle	$00FF8000		2.00	Target Negative
A2	Sample_2		465-510	goi	clRed		2.00	Target Unknown
A3	Sample_2		465-510	hk	$0030D700		2.00	Ref Unknown
A4	Sample_3		465-510	negativ Kontrolle	clFuchsia		2.00	Target Negative
A5	Sample_4		465-510	goi	clGray		2.00	Target Unknown
A6	Sample_4		465-510	hk	$0012D7FA		2.00	Ref Unknown
A7	Sample_5		465-510	negativ Kontrolle	$00000097		2.00	Target Negative
A8	Sample_6		465-510	goi	$00FFFF0F		2.00	Target Unknown
A9	Sample_6		465-510	hk	$00404000		2.00	Ref Unknown
A10	Sample_7		465-510	negativ Kontrolle	$004080FF		2.00	Target Negative
A11	Sample_8		465-510	goi	$00FD0299		2.00	Target Unknown
A12	Sample_8		465-510	hk	$0026C4B8		2.00	Ref Unknown
B1	Sample_1	B1	465-510	goi	$00FF8000		2.00	Target PosCalibrator
B2	Sample_9		465-510	goi	clRed		2.00	Target Unknown
B3	Sample_9		465-510	hk	$0030D700		2.00	Ref Unknown
B4	Sample_3	B4	465-510	goi	clFuchsia		2.00	Target PosCalibrator
B5	Sample_10		465-510	goi	clGray		2.00	Target Unknown
B6	Sample_10		465-510	hk	$0012D7FA		2.00	Ref Unknown
B7	Sample_5	B7	465-510	goi	$00000097		2.00	Target PosCalibrator
B8	Sample_11		465-510	goi	$00FFFF0F		2.00	Target Unknown
B9	Sample_11		465-510	hk	$00404000		2.00	Ref Unknown
B10	Sample_7	B10	465-510	goi	$004080FF		2.00	Target PosCalibrator
B11	Sample_12		465-510	goi	$00FD0299		2.00	Target Unknown
B12	Sample_12		465-510	hk	$0026C4B8		2.00	Ref Unknown
C1	Sample_1	B1	465-510	goi	$00FF8000		2.00	Target PosCalibrator
C2	Sample_13		465-510	goi	clRed		2.00	Target Unknown
C3	Sample_13		465-510	hk	$0030D700		2.00	Ref Unknown
C4	Sample_3	B4	465-510	goi	clFuchsia		2.00	Target PosCalibrator
C5	Sample_14		465-510	goi	clGray		2.00	Target Unknown
C6	Sample_14		465-510	hk	$0012D7FA		2.00	Ref Unknown
C7	Sample_5	B7	465-510	goi	$00000097		2.00	Target PosCalibrator
C8	Sample_15		465-510	goi	$00FFFF0F		2.00	Target Unknown
C9	Sample_15		465-510	hk	$00404000		2.00	Ref Unknown
C10	Sample_7	B10	465-510	goi	$004080FF		2.00	Target PosCalibrator
C11	Sample_16		465-510	goi	$00FD0299		2.00	Target Unknown
C12	Sample_16		465-510	hk	$0026C4B8		2.00	Ref Unknown
D1	Sample_1	B1	465-510	goi	$00FF8000		2.00	Target PosCalibrator
D2	Sample_17		465-510	goi	clRed		2.00	Target Unknown
D3	Sample_17		465-510	hk	$0030D700		2.00	Ref Unknown
D4	Sample_3	B4	465-510	goi	clFuchsia		2.00	Target PosCalibrator
D5	Sample_18		465-510	goi	clGray		2.00	Target Unknown
D6	Sample_18		465-510	hk	$0012D7FA		2.00	Ref Unknown
D7	Sample_5	B7	465-510	goi	$00000097		2.00	Target PosCalibrator
D8	Sample_19		465-510	goi	$00FFFF0F		2.00	Target Unknown
D9	Sample_19		465-510	hk	$00404000		2.00	Ref Unknown
D10	Sample_7	B10	465-510	goi	$004080FF		2.00	Target PosCalibrator
D11	Sample_20		465-510	goi	$00FD0299		2.00	Target Unknown
