Well PlateID Sample Detector Cts
1 A caseA gene_dm 21.0014917960626
2 A caseA gene_sw 19.8315362467861
3 A caseA gene_er 20.4971810118107
4 A caseA gene_jw 18.9761465052152
5 A caseA gene_il 20.2740299279722
6 A caseA gene_bc 19.6343712615078
7 A caseA gene_qy 19.9381496369056
8 A caseA gene_qs 19.9339218016992
9 A caseA gene_dh 20.415031878285
10 A caseA gene_hl 19.4111838416443
11 A caseA gene_by 18.7933717338123
12 A caseA gene_ev 19.0555529479869
13 A caseA gene_jr 20.141384631842
14 A caseA gene_dq 19.6327635272094
15 A caseA gene_rz 20.5200006807006
16 A caseA gene_iv 19.4778806082065
17 A caseA gene_vx 21.1229460930688
18 A caseA gene_ai 18.2534598786095
19 A caseA gene_dr 18.5331584854772
20 A caseA gene_fr 20.4680950899178
21 A caseA gene_gx 20.0511317453079
22 A caseA gene_eg 19.5369999829546
23 A caseA gene_az 19.9991513818477
24 A caseA gene_xz 20.8111760975806
25 A caseA gene_fw 20.1737816572178
26 A caseB gene_dm 19.5633938670487
27 A caseB gene_sw 19.5077596509739
28 A caseB gene_er 20.3335871479588
29 A caseB gene_jw 19.3955831562278
30 A caseB gene_il 19.0607887556414
31 A caseB gene_bc 20.7528383985073
32 A caseB gene_qy 19.6728237870993
33 A caseB gene_qs 20.1664816830546
34 A caseB gene_dh 20.3859270837548
35 A caseB gene_hl 19.2627392465938
36 A caseB gene_by 20.1110463079268
37 A caseB gene_ev 19.5677452058614
38 A caseB gene_jr 20.4840144604876
39 A caseB gene_dq 20.9272692090057
40 A caseB gene_rz 20.4931475098658
41 A caseB gene_iv 19.8608390916101
42 A caseB gene_vx 22.2020991464141
43 A caseB gene_ai 19.5963548365375
44 A caseB gene_dr 21.0463284341796
45 A caseB gene_fr 18.7445909337096
46 A caseB gene_gx 19.3370923981357
47 A caseB gene_eg 20.1182039772963
48 A caseB gene_az 19.5232560343072
49 A caseB gene_xz 20.8956519114685
50 A caseB gene_fw 21.5349269321586
1 B controlA gene_dm 19.599424044724
2 B controlA gene_sw 18.7775131391418
3 B controlA gene_er 20.4157632961591
4 B controlA gene_jw 19.1922450575311
5 B controlA gene_il 20.9060650714403
6 B controlA gene_bc 21.6659836667452
7 B controlA gene_qy 19.5635729729058
8 B controlA gene_qs 19.5231007057247
9 B controlA gene_dh 19.6831359891326
10 B controlA gene_hl 18.6584666569296
11 B controlA gene_by 19.5800217095197
12 B controlA gene_ev 20.1879641813157
13 B controlA gene_jr 19.9521189246857
14 B controlA gene_dq 20.3288273574398
15 B controlA gene_rz 19.9815814732238
16 B controlA gene_iv 19.0765841293029
17 B controlA gene_vx 18.1605432770232
18 B controlA gene_ai 19.967186142245
19 B controlA gene_dr 20.4874926294608
20 B controlA gene_fr 19.593833557746
21 B controlA gene_gx 20.049364642596
22 B controlA gene_eg 19.7515398275396
23 B controlA gene_az 18.7481976699327
24 B controlA gene_xz 20.7493922258348
25 B controlA gene_fw 18.5503222908182
26 B controlB gene_dm 20.8395418431417
27 B controlB gene_sw 18.2138877101961
28 B controlB gene_er 18.8059631723498
29 B controlB gene_jw 19.9486352669284
30 B controlB gene_il 20.2503679531
31 B controlB gene_bc 20.5809333713652
32 B controlB gene_qy 18.2851799980457
33 B controlB gene_qs 17.4893790714407
34 B controlB gene_dh 19.3189337414645
35 B controlB gene_hl 20.8563312435095
36 B controlB gene_by 18.1636062848498
37 B controlB gene_ev 20.2699290592588
38 B controlB gene_jr 21.423326017771
39 B controlB gene_dq 20.1302577263771
40 B controlB gene_rz 17.7697142777519
41 B controlB gene_iv 19.651147534966
42 B controlB gene_vx 19.5642401478024
43 B controlB gene_ai 21.818256063377
44 B controlB gene_dr 21.5444378047811
45 B controlB gene_fr 20.6072912335256
46 B controlB gene_gx 18.4612934392979
47 B controlB gene_eg 20.7298410352993
48 B controlB gene_az 20.2425873046043
49 B controlB gene_xz 18.5861762559058
50 B controlB gene_fw 21.3999377034634
1 C caseA gene_dm 20.2709739699307
2 C caseA gene_sw 21.9311873120558
3 C caseA gene_er 21.7857499006095
4 C caseA gene_jw 19.3867229940152
5 C caseA gene_il 18.2064422746961
6 C caseA gene_bc 19.9712829913985
7 C caseA gene_qy 22.0094973641946
8 C caseA gene_qs 21.3584908638776
9 C caseA gene_dh 18.5648770855196
10 C caseA gene_hl 20.5172127984268
11 C caseA gene_by 19.768475517607
12 C caseA gene_ev 19.6376594496951
13 C caseA gene_jr 20.2465556480891
14 C caseA gene_dq 21.2399931102537
15 C caseA gene_rz 19.9502945644295
16 C caseA gene_iv 18.6281515515089
17 C caseA gene_vx 20.0964318640378
18 C caseA gene_ai 19.1769205655404
19 C caseA gene_dr 18.2746914243454
20 C caseA gene_fr 17.828034671374
21 C caseA gene_gx 20.0441558548604
22 C caseA gene_eg 20.6043225072735
23 C caseA gene_az 19.7141040071578
24 C caseA gene_xz 20.1560057526097
25 C caseA gene_fw 20.9973523184449
26 C caseB gene_dm 19.9894160519445
27 C caseB gene_sw 19.8047755834153
28 C caseB gene_er 19.9911623405408
29 C caseB gene_jw 21.004276706077
30 C caseB gene_il 20.1565758217355
31 C caseB gene_bc 20.3833034113827
32 C caseB gene_qy 18.9436613873013
33 C caseB gene_qs 20.8476615993419
34 C caseB gene_dh 19.445970681662
35 C caseB gene_hl 19.5630798425886
36 C caseB gene_by 20.0961954770471
37 C caseB gene_ev 17.7290142716347
38 C caseB gene_jr 19.7100449367721
39 C caseB gene_dq 20.31907571148
40 C caseB gene_rz 17.9060859721407
41 C caseB gene_iv 19.5208712891125
42 C caseB gene_vx 19.0541298230337
43 C caseB gene_ai 19.3309166611293
44 C caseB gene_dr 18.8372600075061
45 C caseB gene_fr 19.4041778564794
46 C caseB gene_gx 21.1356631394293
47 C caseB gene_eg 21.7457837680075
48 C caseB gene_az 20.046543997699
49 C caseB gene_xz 19.1233944627407
50 C caseB gene_fw 19.275130708386
1 D controlA gene_dm 19.0730513249518
2 D controlA gene_sw 21.8577356502919
3 D controlA gene_er 20.2640908713482
4 D controlA gene_jw 19.9075935513591
5 D controlA gene_il 19.6704472202351
6 D controlA gene_bc 18.8694964744147
7 D controlA gene_qy 19.6399775655525
8 D controlA gene_qs 19.6218853583455
9 D controlA gene_dh 19.8053959708005
10 D controlA gene_hl 21.6689508468287
11 D controlA gene_by 20.7400957861041
12 D controlA gene_ev 19.5266225682397
13 D controlA gene_jr 19.9013263746145
14 D controlA gene_dq 19.6613812202236
15 D controlA gene_rz 20.5606599546275
16 D controlA gene_iv 18.8491614856104
17 D controlA gene_vx 18.7020438905139
18 D controlA gene_ai 21.0219929057775
19 D controlA gene_dr 20.218451635893
20 D controlA gene_fr 19.8620624606787
21 D controlA gene_gx 19.4502747875137
22 D controlA gene_eg 20.2399304370681
23 D controlA gene_az 20.4297386086333
24 D controlA gene_xz 20.4757927712348
25 D controlA gene_fw 19.2812740612491
26 D controlB gene_dm 19.8217277769028
27 D controlB gene_sw 20.6187808523916
28 D controlB gene_er 18.6327899942201
29 D controlB gene_jw 18.8529201749265
30 D controlB gene_il 20.5724236293671
31 D controlB gene_bc 19.2407132755982
32 D controlB gene_qy 18.336869679848
33 D controlB gene_qs 18.6467421648343
