Well Plate Sample Detector Cq
1 A one gene_dx 19.5713140554026
2 A one gene_aj 20.729599684343
3 A one gene_jy 19.2354584535806
4 A one gene_ax 19.0912916850311
5 A one gene_al 22.2313720641904
6 A one gene_ei 19.7834304192568
7 A one gene_bo 18.7734214694462
8 A one gene_cp 20.3952979784446
9 A one gene_dx 20.2118004456394
10 A one gene_aj 19.5819644746895
11 A one gene_jy 18.7599773047714
12 A one gene_ax 18.2229369248276
13 A one gene_al 21.6660782275036
14 A one gene_ei 20.9786126625258
15 A one gene_bo 17.9503014456703
16 A one gene_cp 19.6444551898154
17 A two gene_dx 21.6546733405256
18 A two gene_aj 17.51878302499
19 A two gene_jy 22.214698134877
20 A two gene_ax 21.1589680928924
21 A two gene_al 21.3222277093361
22 A two gene_ei 19.8386247391824
23 A two gene_bo 21.0878162942436
24 A two gene_cp 22.9957761095694
25 A two gene_dx 20.739297389593
26 A two gene_aj 18.4002894100854
27 A two gene_jy 20.9404996638672
28 A two gene_ax 21.3104835367948
29 A two gene_al 19.5376533481906
30 A two gene_ei 19.1603341358725
31 A two gene_bo 21.532665061539
32 A two gene_cp 22.3411910821541
1 B three gene_dx 21.6254624836893
2 B three gene_aj 21.8710878289072
3 B three gene_jy 18.2205250290616
4 B three gene_ax 21.9003447740494
5 B three gene_al 19.305963649922
6 B three gene_ei 20.2652659254455
7 B three gene_bo 19.7084816984341
8 B three gene_cp 22.0663180934848
9 B three gene_dx 21.4161870673114
10 B three gene_aj 21.7106146584964
11 B three gene_jy 19.3164980468733
12 B three gene_ax 21.2865958857505
13 B three gene_al 20.0716922484757
14 B three gene_ei 19.8218398906598
15 B three gene_bo 19.5325998583316
16 B three gene_cp 20.7479324820103
17 A four gene_dx 21.1674403538742
18 A four gene_aj 18.0251236152025
19 A four gene_jy 21.6026126249248
20 A four gene_ax 20.6704359936714
21 A four gene_al 20.3023265441562
22 A four gene_ei 19.9005796834838
23 A four gene_bo 20.6293881525826
24 A four gene_cp 23.5076760867468
25 A four gene_dx 21.3621704351904
26 A four gene_aj 17.5924255469934
27 A four gene_jy 21.0444466410691
28 A four gene_ax 20.4418574873544
29 A four gene_al 20.5601126118246
30 A four gene_ei 19.6743148255173
31 A four gene_bo 20.7082550832611
32 A four gene_cp 22.7351103312193
